Front,Back,Extra,Tags
"You need to grant a user read-only access to all resources in a resource group, but they should be able to start and stop virtual machines. The solution must follow the principle of least privilege.<br><br>A) Assign Reader role at resource group scope and Virtual Machine Contributor at VM scope<br>B) Assign Contributor role at resource group scope<br>C) Create a custom RBAC role with read permissions and VM power actions","C) Create a custom RBAC role with read permissions and VM power actions","Custom roles allow precise permission combinations. Reader can't start/stop VMs. VM Contributor grants delete permissions (violates least privilege). Option A requires separate assignments per VM (doesn't scale). Custom role with read actions plus Microsoft.Compute/virtualMachines/start/action and deallocate provides exact requirements.","AZ-104 IdentityGovernance RBAC"
"Your company has 50 subscriptions across multiple departments. You need to apply a policy that prevents creation of resources in certain Azure regions while allowing exceptions for the networking team. Minimize administrative overhead.<br><br>A) Create Azure Policy at management group scope with policy exemptions<br>B) Apply Azure Policy to each subscription individually<br>C) Use resource locks on each subscription","A) Create Azure Policy at management group scope with policy exemptions","Management group scope applies policy to all child subscriptions with single configuration. Policy exemptions allow networking team exceptions without duplicate policies. Option B requires 50 separate configurations. Resource locks prevent deletion/modification, not region restrictions. Management groups centralize governance at scale.","AZ-104 IdentityGovernance AzurePolicy"
"A development team needs temporary elevated access to production VMs for troubleshooting. Access should automatically expire after 2 hours and require manager approval before activation.<br><br>A) Create Azure AD group with Conditional Access time limits<br>B) Use Azure AD Privileged Identity Management with eligible assignments<br>C) Assign permanent roles with Azure Automation to revoke access","B) Use Azure AD Privileged Identity Management with eligible assignments","PIM provides just-in-time access with approval workflows, time-bound elevation, and automatic expiration. Conditional Access controls sign-in conditions, not role activation duration. Permanent roles with automation are complex and lack audit trail. PIM is purpose-built for temporary privileged access scenarios.","AZ-104 IdentityGovernance PIM"
"Your organization requires all Azure resources to be tagged with cost-center and owner. Existing resources lack these tags. You need to enforce tagging for new resources and automatically remediate existing ones.<br><br>A) Use Azure Policy with Deny effect and manual tagging script<br>B) Use Azure Policy with Modify effect and remediation task<br>C) Create Azure Automation runbook with scheduled execution","B) Use Azure Policy with Modify effect and remediation task","Modify effect adds/updates tags automatically on new and existing resources via remediation tasks. Deny effect blocks creation but doesn't fix existing resources. Automation runbooks require ongoing maintenance and lack built-in compliance tracking. Policy Modify provides continuous enforcement with compliance reporting.","AZ-104 IdentityGovernance AzurePolicy"
"Users in your organization authenticate to Azure using on-premises Active Directory. You need to enable password writeback so users can reset passwords from Azure and sync to on-premises AD.<br><br>A) Configure Azure AD Connect with password writeback feature enabled<br>B) Use Azure AD Connect Cloud Sync with custom connectors<br>C) Enable Azure AD self-service password reset without sync","A) Configure Azure AD Connect with password writeback feature enabled","Azure AD Connect supports bidirectional password sync including writeback from cloud to on-premises AD. Cloud Sync doesn't support password writeback. SSPR without sync only changes cloud passwords. Azure AD Connect with writeback feature is the hybrid identity solution for this requirement.","AZ-104 IdentityGovernance HybridIdentity"
"You need to organize 20 subscriptions for a company with 4 business units. Each unit should have separate billing, but central IT must enforce security policies across all subscriptions. Minimize complexity.<br><br>A) Create management group hierarchy: Root > Business Unit > Subscriptions<br>B) Use separate Azure AD tenants for each business unit<br>C) Apply Azure Policy directly to each subscription","A) Create management group hierarchy: Root > Business Unit > Subscriptions","Management groups provide hierarchical policy inheritance (central IT policies at root) and subscription organization (business unit billing). Separate tenants eliminate centralized governance. Per-subscription policies duplicate configuration. Management groups enable both billing separation and centralized policy with minimal overhead.","AZ-104 IdentityGovernance ManagementGroups"
"A user needs permission to view all resources in a subscription and create support tickets but should not be able to modify any resources.<br><br>A) Assign Reader role at subscription scope<br>B) Assign Reader and Support Request Contributor roles at subscription scope<br>C) Assign Contributor role with Deny assignment for write operations","B) Assign Reader and Support Request Contributor roles at subscription scope","Reader provides read-only access but not support ticket creation. Support Request Contributor adds ticket creation ability. Multiple roles combine permissions. Option C is overly complex and Deny assignments are system-managed. Combining Reader + Support Request Contributor achieves exact requirements.","AZ-104 IdentityGovernance RBAC"
"Your company requires that all production resource groups cannot be deleted accidentally, but resources within them can be modified and deleted by authorized users.<br><br>A) Apply ReadOnly lock at resource group scope<br>B) Apply CanNotDelete lock at resource group scope<br>C) Use Azure Policy with Deny delete operations","B) Apply CanNotDelete lock at resource group scope","CanNotDelete lock prevents resource group deletion while allowing resource operations inside. ReadOnly blocks all modifications including resource changes. Policy Deny can be bypassed via exemptions and applies to child resources not the group itself. CanNotDelete at group scope provides precise protection.","AZ-104 IdentityGovernance ResourceLocks"
"You need to delegate permission for a contractor to manage virtual machines in a specific resource group for 3 months, then automatically revoke access without manual intervention.<br><br>A) Assign role with PIM time-bound assignment<br>B) Create service principal with expiring secret<br>C) Assign permanent role with calendar reminder","A) Assign role with PIM time-bound assignment","PIM supports time-bound role assignments with automatic expiration (start/end dates). Service principals are for applications not users. Permanent roles with reminders require manual revocation and human error risk. PIM provides automated temporal access control with audit logging for contractors.","AZ-104 IdentityGovernance PIM"
"Your organization has 500 users who need Azure access. Some users require MFA for all resources, while executives need MFA only for Azure portal access but not Azure CLI/PowerShell.<br><br>A) Create Conditional Access policies with user groups and application filters<br>B) Enable Security Defaults for all users<br>C) Configure per-user MFA settings in Azure AD","A) Create Conditional Access policies with user groups and application filters","Conditional Access allows granular control with user targeting and cloud app filtering (portal vs CLI). Security Defaults applies MFA uniformly without exceptions. Per-user MFA lacks application-specific controls. Conditional Access with groups (standard users, executives) and app conditions provides precise MFA enforcement.","AZ-104 IdentityGovernance ConditionalAccess"
"A storage account contains 10TB of data in Hot tier. Analysis shows 80% hasn't been accessed in 90 days. You need to minimize costs while maintaining <10ms access latency for recently used files.<br><br>A) Manually move old files to Cool tier<br>B) Configure lifecycle management policy to transition to Cool after 90 days<br>C) Use Blob Storage Premium tier","B) Configure lifecycle management policy to transition to Cool after 90 days","Lifecycle management automates tier transitions based on last access/modification time. Reduces costs automatically without manual intervention. Manual moves don't scale and miss new files. Premium tier increases cost. Lifecycle policies optimize costs continuously while Hot tier maintains low latency for active data.","AZ-104 Storage BlobStorage"
"Your application requires a storage solution for 5TB of files that must be accessed via SMB protocol from both Azure VMs and on-premises servers. The solution must support Active Directory authentication.<br><br>A) Azure Files with Azure AD Domain Services integration<br>B) Azure Blob Storage with NFS 3.0 protocol<br>C) Azure NetApp Files with SMB volumes","A) Azure Files with Azure AD Domain Services integration","Azure Files supports SMB protocol with Azure AD DS authentication for identity-based access. Blob NFS uses NFS not SMB protocol. NetApp Files works but is significantly more expensive for 5TB (designed for enterprise NAS). Azure Files provides SMB + AD authentication at optimal cost.","AZ-104 Storage FileShares"
"You need to ensure that deleted blobs in a storage account can be recovered for 30 days. The solution must also prevent accidental deletion of the storage account itself.<br><br>A) Enable soft delete for blobs with 30-day retention and apply CanNotDelete lock to storage account<br>B) Enable versioning for blobs and container soft delete<br>C) Create daily snapshots with 30-day retention policy","A) Enable soft delete for blobs with 30-day retention and apply CanNotDelete lock to storage account","Blob soft delete provides undelete capability for 30-day retention period. CanNotDelete lock prevents storage account deletion. Versioning creates new versions on change, not deletion recovery. Snapshots are point-in-time copies, not deletion protection. Soft delete + lock combination addresses both requirements.","AZ-104 Storage DataProtection"
"A company needs to replicate data across Azure regions with the highest data durability (16 nines). The primary region is East US and data must be readable from the secondary region during outages.<br><br>A) Use GRS (Geo-Redundant Storage) replication<br>B) Use GZRS (Geo-Zone-Redundant Storage) replication with RA-GZRS<br>C) Use LRS with manual replication via AzCopy","B) Use GZRS (Geo-Zone-Redundant Storage) replication with RA-GZRS","GZRS provides 16 9s durability (highest) by combining ZRS in primary region with GRS across regions. RA-GZRS adds read access to secondary region during outages. GRS provides 16 9s but lacks zone redundancy in primary region. LRS only provides 11 9s without geo-replication. GZRS offers maximum durability and availability.","AZ-104 Storage Redundancy"
"You need to copy 50TB of data from an Azure storage account in East US to a storage account in West Europe. The transfer must complete within 24 hours and minimize egress costs.<br><br>A) Use AzCopy with parallelization<br>B) Use Azure Data Box for offline transfer<br>C) Configure object replication between storage accounts","C) Configure object replication between storage accounts","Object replication transfers data between storage accounts in different regions without egress charges when using Microsoft network. AzCopy incurs egress charges for cross-region transfer. Data Box is for on-premises to Azure, not Azure-to-Azure. Object replication provides cost-effective cross-region copying within Azure.","AZ-104 Storage DataTransfer"
