Front,Back,Extra,Tags
"Your organization needs to grant temporary elevated access to Azure resources for administrators who require it only occasionally. The solution must enforce approval workflows and provide detailed audit logs. Which feature should you implement?<br><br>A) Assign permanent Azure RBAC roles to administrators<br>B) Implement Microsoft Entra Privileged Identity Management (PIM)<br>C) Create custom roles with limited permissions","B) Implement Microsoft Entra Privileged Identity Management (PIM). PIM provides just-in-time privileged access with approval workflows, time-bound assignments, access reviews, and comprehensive audit trails.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/id-governance/privileged-identity-management/pim-configure"">Configure PIM</a>","PIM enables zero standing privileges through JIT access. Requires justification for activation, supports multi-stage approval, enforces MFA for elevation, time-limits assignments (hours), provides alerts on suspicious activations. Permanent roles (option A) violate least privilege. Custom roles (option C) don't provide time-limited access. PIM features: eligible vs active assignments, activation duration (1-24 hours), notification on activation, access reviews, activation history. Best practice: make all privileged roles eligible, require approval for critical roles.",AZ-500 IdentityAccess PIM
"A multi-tier web application requires different levels of access control: the web tier needs read access to the database, the API tier needs read/write access, and the admin portal needs full control. How should you implement least privilege access?<br><br>A) Use a single Azure RBAC role with full permissions for all tiers<br>B) Create custom Azure RBAC roles with specific permissions for each tier<br>C) Use shared access keys distributed to each tier","B) Create custom Azure RBAC roles with specific permissions for each tier. Custom roles enable granular permission assignments matching each tier's exact requirements, implementing principle of least privilege.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/role-based-access-control/custom-roles"">Custom Azure Roles</a>","Custom roles use Actions (allowed operations) and NotActions (explicitly denied). Example: WebTierRole allows Microsoft.Sql/*/read, ApiTierRole adds */write, AdminRole includes */delete. Single role (option A) violates least privilege. Shared keys (option C) don't provide granular control and are harder to rotate. Custom role best practices: use built-in roles as templates, scope roles narrowly (resource group level), regularly review permissions. Combine with managed identities for passwordless auth. Use Azure Policy to enforce role assignments. Maximum 5000 custom roles per tenant.",AZ-500 IdentityAccess RBAC
"An Azure application needs to authenticate to Azure Key Vault to retrieve secrets without storing credentials in code or configuration files. What authentication method should you implement?<br><br>A) Store connection strings in application settings<br>B) Use managed identity assigned to the application<br>C) Generate SAS tokens for Key Vault access","B) Use managed identity assigned to the application. Managed identity provides automatic credential management and Azure AD authentication without storing secrets, enabling secure, passwordless access to Key Vault.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/identity/managed-identities-azure-resources/overview"">Managed Identities Overview</a>","Managed identities eliminate credential management: system-assigned (tied to resource lifecycle) or user-assigned (shared across resources). Assign ""Key Vault Secrets User"" role to the identity. Connection strings (option A) are credentials to protect, not solutions. SAS tokens (option C) need rotation. Managed identity benefits: automatic credential rotation, works with 100+ Azure services, no code changes for rotation, audit trail via Azure AD. Code uses DefaultAzureCredential to authenticate. Supported by: VMs, App Service, Functions, AKS, Container Apps, Logic Apps.",AZ-500 IdentityAccess ManagedIdentity
"Your organization must enforce multi-factor authentication (MFA) for all users accessing Azure resources from untrusted locations but not from corporate networks. How should you configure this?<br><br>A) Enable MFA for all users globally in Azure AD settings<br>B) Create a Conditional Access policy based on location<br>C) Configure per-user MFA settings for each user","B) Create a Conditional Access policy based on location. Conditional Access evaluates signals (location, device, risk) and enforces MFA selectively based on conditions, enabling risk-based access control.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/identity/conditional-access/overview"">Conditional Access Overview</a>","Conditional Access policy: If (Untrusted Location) Then (Require MFA). Named locations define trusted IPs/countries. Global MFA (option A) can't distinguish locations. Per-user MFA (option C) lacks location awareness. Conditional Access signals: user/group, cloud apps, device state, location (IP ranges), risk (identity protection), device platform. Grant controls: require MFA, compliant device, hybrid joined device, approved app. Session controls: limit session lifetime, app enforced restrictions. Requires Azure AD Premium P1. Use report-only mode to test policies before enforcement.",AZ-500 IdentityAccess ConditionalAccess
"An enterprise application requires federated authentication with Azure AD and needs API permissions to read user profiles and send emails on behalf of users. How should you configure the application registration?<br><br>A) Request only application permissions without user consent<br>B) Configure delegated permissions with admin consent for organization<br>C) Use client credentials flow with application permissions","B) Configure delegated permissions with admin consent for organization. Delegated permissions run in user context (""on behalf of""), appropriate for user-interactive apps. Admin consent grants permissions organization-wide.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/entra/identity-platform/permissions-consent-overview"">App Permissions and Consent</a>","Permission types: Delegated (on behalf of signed-in user, requires user presence), Application (app identity, background services). Read profiles + send emails requires delegated (user context). Application permissions (option A, C) are for services/daemons without user interaction. Consent types: User consent (low-risk permissions), Admin consent (sensitive permissions, tenant-wide). Define scopes in API app registration. Requesting app references these scopes. Least privilege: request minimum necessary permissions. OAuth 2.0 permission scopes format: api://appid/scope. Microsoft Graph permissions: User.Read, Mail.Send.",AZ-500 IdentityAccess AppRegistrations
"A web application deployed in Azure App Service must access Azure SQL Database securely without connection strings exposed in configuration. What combination provides the most secure access?<br><br>A) Store connection string in App Service application settings<br>B) Use managed identity with Azure AD authentication to SQL<br>C) Store connection string in Azure Key Vault and reference from App Service","B) Use managed identity with Azure AD authentication to SQL. Enables passwordless authentication, eliminates connection string management, provides automatic credential rotation, and leverages Azure AD for access control.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/app-service/app-service-web-tutorial-connect-msi"">Connect with Managed Identity</a>","Configuration: 1) Enable system-assigned managed identity on App Service, 2) Enable Azure AD authentication on SQL Server, 3) Create contained database user for managed identity, 4) Grant SQL permissions, 5) Use Azure.Identity library in code. App settings (option A) still expose credentials. Key Vault (option C) is better but managed identity is simpler. ConnectionString with managed identity: ""Server=server.database.windows.net;Authentication=Active Directory Managed Identity"". Benefits: no secrets in code/config, automatic rotation, centralized access management. Works with SQL Database, SQL Managed Instance, Synapse Analytics.",AZ-500 IdentityAccess SQLAuthentication
"Your company requires that all Network Security Group (NSG) rules are reviewed and approved before deployment. Which governance approach ensures compliance?<br><br>A) Use Azure Policy to audit and enforce NSG rule standards<br>B) Manually review NSG rules after deployment<br>C) Implement Azure Advisor recommendations","A) Use Azure Policy to audit and enforce NSG rule standards. Azure Policy evaluates resources against defined rules, can audit non-compliant configurations, and deny deployments that violate security policies.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/governance/policy/overview"">Azure Policy Overview</a>","Azure Policy for NSGs: audit rules allowing RDP/SSH from internet (0.0.0.0/0), deny creation of overly permissive rules, require specific tags. Manual review (option B) doesn't prevent deployment. Advisor (option C) provides recommendations, not enforcement. Policy effects: Audit (log non-compliance), Deny (prevent creation), Modify (auto-remediate), DeployIfNotExists (deploy remediation). Built-in policies: ""Management ports should be closed on VMs"", ""Internet-facing VMs should be protected with NSGs"". Use policy initiatives (groups of policies) for comprehensive security baselines. Compliance reports show violations across subscriptions.",AZ-500 SecureNetworking AzurePolicy
"A virtual network hosting production servers must allow HTTP/HTTPS traffic but deny all other inbound internet traffic. What is the most secure way to configure this?<br><br>A) Create NSG rules allowing HTTP/HTTPS and default deny rule<br>B) Use Azure Firewall with application rules for HTTP/HTTPS<br>C) Configure Application Security Groups for web servers","A) Create NSG rules allowing HTTP/HTTPS and default deny rule. NSGs provide stateful packet filtering at subnet/NIC level. Explicit allow rules for ports 80/443, implicit deny for all other traffic ensures least privilege.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview"">Network Security Groups</a>","NSG best practices: Default deny (NSGs have implicit deny all), Explicit allows only, Lowest priority number = highest priority (100 processes before 200). Rule: Priority 100, Allow, Inbound, TCP 80,443, Source: Internet, Dest: VirtualNetwork. Azure Firewall (option B) is overkill for basic filtering. ASGs (option C) group VMs but don't define rules alone. NSG evaluation: more specific rules first, stateful (return traffic automatically allowed). Place NSGs at subnet level (covers all resources) over NIC level. Use service tags (Internet, VirtualNetwork, AzureLoadBalancer) instead of IP ranges. Maximum 1000 rules per NSG.",AZ-500 SecureNetworking NSG
"A multi-tier application has web, app, and database tiers. You need to allow web tier to communicate with app tier, and app tier with database tier, but prevent web tier from directly accessing database tier. How should you configure Application Security Groups?<br><br>A) Create one ASG and assign all tiers to it<br>B) Create separate ASGs per tier and configure NSG rules between ASGs<br>C) Use network virtual appliances between tiers","B) Create separate ASGs per tier and configure NSG rules between ASGs. ASGs enable micro-segmentation by grouping VMs logically and creating NSG rules based on those groups, simplifying security management.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-network/application-security-groups"">Application Security Groups</a>","Configuration: Create WebASG, AppASG, DbASG. NSG rules: Allow WebASG→AppASG:443, Allow AppASG→DbASG:1433, Deny WebASG→DbASG. Single ASG (option A) doesn't provide isolation. NVAs (option C) add complexity. ASG benefits: reference ASGs in NSG rules instead of IPs, add/remove VMs without changing rules, logical grouping matches application architecture. Each NIC can belong to unlimited ASGs. ASGs must be in same region/VNet as NSG. Example rule: Source=WebASG, Destination=AppASG, Port=443, Action=Allow. Enables zero-trust segmentation within VNet.",AZ-500 SecureNetworking ASG
"An Azure virtual network needs private connectivity to Azure Storage without traffic traversing the internet. Which solution provides direct Azure backbone network access?<br><br>A) Use service endpoints to route traffic over Azure backbone<br>B) Configure Private Link with private endpoints<br>C) Enable VPN gateway for encrypted connectivity","B) Configure Private Link with private endpoints. Private endpoints inject Azure PaaS services into your VNet with private IPs, providing network isolation and eliminating public internet exposure.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview"">Private Endpoints</a>","Private endpoint creates private IP in your VNet for Storage account. Traffic flows entirely through Azure backbone. Service endpoints (option A) use public IPs with backbone routing. VPN gateway (option C) is for on-premises connectivity. Private endpoint benefits: network isolation (no public exposure), private DNS integration, works across VNets/peerings, no internet breakout. Supports: Storage, SQL, Cosmos DB, Key Vault, App Service, 50+ services. Requires: DNS configuration (private zones), NSG rules allow traffic to private IP. Can disable public access entirely on Storage account. Costs: per endpoint + data processing.",AZ-500 SecureNetworking PrivateLink
