Front,Back,Extra,Tags
"Your organization deploys a hub-spoke topology with a hub VNet (10.0.0.0/16) and 20 spoke VNets (10.1.0.0/16 through 10.20.0.0/16). Each spoke needs to communicate with shared services in the hub and with each other. Which routing configuration enables this full-mesh communication?<br><br>A) Spoke-to-spoke VNet peering without hub involvement<br>B) Hub VNet peering with gateway transit and Allow Forwarded Traffic enabled<br>C) No peering configuration needed","B) Hub VNet peering with gateway transit and Allow Forwarded Traffic enabled","Hub-spoke topology with gateway transit allows spokes to communicate through hub using UDRs or virtual network gateway transit. Allow Forwarded Traffic permits spoke-to-spoke via hub. Direct spoke-to-spoke peering creates management complexity with 190 peerings. No peering prevents communication.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/architecture/networking/architecture/hub-spoke"">Hub-spoke network topology</a>",AZ-700 CoreNetworking HubSpoke
"A VNet requires IP address space for 500 VMs, 50 Azure Firewall instances, 10 Application Gateways, and Azure Bastion. VMs need /24 subnet, firewalls need /26, Application Gateways need /27, and Bastion needs /26. Which VNet CIDR provides sufficient capacity with minimal waste?<br><br>A) /16 providing 65,536 addresses<br>B) /20 providing 4,096 addresses<br>C) /24 providing 256 addresses","B) /20 providing 4,096 addresses","/20 provides 4,096 IPs: VMs need 512 (/23 or two /24s), Firewalls 64 (/26), App GW 128 (4x /27 minimum), Bastion 64 (/26) = ~768 + Azure reserved ~5% = under 1000, fitting in /20. /16 wastes 60K+ addresses. /24 insufficient for requirements.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/virtual-network/virtual-networks-faq#how-small-and-how-large-can-vnets-and-subnets-be"">VNet sizing</a>",AZ-700 CoreNetworking IPAddressing
"Your organization owns public IP range 203.0.113.0/24 and wants to use it in Azure instead of Azure-provided public IPs for regulatory compliance. Which Azure feature enables bringing your own IP addresses?<br><br>A) Standard public IP addresses without custom range<br>B) Custom public IP address prefix (BYOIP) with range attestation<br>C) Private IP addresses only","B) Custom public IP address prefix (BYOIP) with range attestation","Custom IP prefix (BYOIP) allows bringing customer-owned public IP ranges to Azure after ownership verification. Standard Azure public IPs use Microsoft-owned ranges. Private IPs don't provide public internet connectivity required.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/virtual-network/ip-services/custom-ip-address-prefix"">Bring your own IP</a>",AZ-700 CoreNetworking BYOIP
"A multi-region application requires DNS resolution where users connect to the nearest healthy region. The solution must automatically remove failed regions from DNS within 30 seconds. Which Azure DNS configuration achieves this?<br><br>A) Azure DNS public zone with static A records<br>B) Azure Traffic Manager with performance routing and health probes<br>C) Azure Private DNS without monitoring","B) Azure Traffic Manager with performance routing and health probes","Traffic Manager provides DNS-based global traffic distribution with performance routing directing users to nearest region and health probes automatically removing unhealthy endpoints. Static DNS lacks health monitoring. Private DNS doesn't support public internet routing.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/traffic-manager/traffic-manager-routing-methods"">Traffic Manager routing</a>",AZ-700 CoreNetworking DNS
"Your solution requires private DNS resolution between Azure VNets and on-premises networks with conditional forwarding for specific domain suffixes. Which Azure DNS solution provides this hybrid DNS capability?<br><br>A) Azure public DNS zones<br>B) Azure DNS Private Resolver with forwarding rules<br>C) On-premises DNS only","B) Azure DNS Private Resolver with forwarding rules","Azure DNS Private Resolver enables centralized DNS resolution with conditional forwarding between Azure and on-premises, supporting private DNS zones and custom forwarding rules. Public zones don't resolve private names. On-premises-only DNS can't resolve Azure private DNS zones.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/dns/dns-private-resolver-overview"">Azure DNS Private Resolver</a>",AZ-700 CoreNetworking PrivateDNS
"A VNet requires a subnet delegated to Azure SQL Managed Instance. The managed instance needs exclusive control over the subnet. Which subnet configuration parameter enables this service delegation?<br><br>A) No delegation, shared subnet with other resources<br>B) Subnet delegation to Microsoft.Sql/managedInstances service<br>C) Network security group rules only","B) Subnet delegation to Microsoft.Sql/managedInstances service","Subnet delegation grants exclusive control to specific Azure services requiring network policy management. SQL Managed Instance requires delegated subnet. Shared subnets don't provide service-required network control. NSG rules alone don't delegate subnet control.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/virtual-network/subnet-delegation-overview"">Subnet delegation</a>",AZ-700 CoreNetworking SubnetDelegation
"Your organization deploys Azure Kubernetes Service and Azure App Service requiring dedicated subnets in the same VNet. Both services need outbound internet access. Which subnet design provides proper isolation and connectivity?<br><br>A) Single shared subnet for all services<br>B) Dedicated subnets per service with shared NAT Gateway or Azure Firewall<br>C) No internet connectivity configuration","B) Dedicated subnets per service with shared NAT Gateway or Azure Firewall","Dedicated subnets per service provide security isolation while shared NAT Gateway or Azure Firewall provides centralized outbound internet connectivity and IP management. Single subnet reduces isolation. Services without internet access can't download updates or access external APIs.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/virtual-network/nat-gateway/nat-overview"">Azure NAT Gateway</a>",AZ-700 CoreNetworking SubnetDesign
"A VNet (10.0.0.0/16) peers with another VNet (10.1.0.0/16). Traffic from 10.0.0.0/16 to specific subnet 10.1.10.0/24 must route through a firewall at 10.0.1.4. Which configuration implements this custom routing?<br><br>A) No configuration, default routing handles all traffic<br>B) User-defined route (UDR) with route to 10.1.10.0/24 via 10.0.1.4 appliance<br>C) VNet peering routing automatically applies","B) User-defined route (UDR) with route to 10.1.10.0/24 via 10.0.1.4 appliance","UDRs override default Azure routing, directing specific traffic through network virtual appliances like firewalls. Default routing uses direct VNet peering without inspection. VNet peering alone doesn't enforce traffic through security appliances.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/virtual-network/virtual-networks-udr-overview"">User-defined routes</a>",AZ-700 CoreNetworking UDR
"Your organization requires all VNet traffic to on-premises to route through an Azure Firewall for inspection, even VPN/ExpressRoute default routes. Which UDR configuration enforces this traffic flow?<br><br>A) No route configuration, default routes to on-premises<br>B) UDR with 0.0.0.0/0 to firewall and disable BGP route propagation<br>C) VNet peering routes only","B) UDR with 0.0.0.0/0 to firewall and disable BGP route propagation","Forced tunneling with 0.0.0.0/0 UDR to firewall and disabled BGP propagation prevents default on-premises routes from bypassing firewall. Default routes allow direct VPN/ExpressRoute without inspection. VNet peering doesn't affect on-premises routing.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-forced-tunneling-rm"">Forced tunneling</a>",AZ-700 CoreNetworking ForcedTunneling
"An application in subnet A (10.0.1.0/24) cannot reach resources in subnet B (10.0.2.0/24) within the same VNet. Network Watcher IP flow verify shows traffic being blocked. Which diagnostic step identifies the root cause?<br><br>A) Assume routing issue without verification<br>B) Check NSG effective security rules on both subnet and NIC<br>C) Restart all VMs to fix connectivity","B) Check NSG effective security rules on both subnet and NIC","NSG effective security rules show combined result of subnet and NIC-level NSG rules identifying blocking rules. Assumptions miss actual cause. Restarting VMs doesn't address NSG misconfigurations preventing connectivity.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/network-watcher/network-watcher-security-group-view-overview"">NSG diagnostics</a>",AZ-700 CoreNetworking Troubleshooting
"Your hub-spoke topology requires spoke VNets to learn routes to on-premises via VPN gateway in the hub. Which Azure Route Server configuration enables this dynamic route propagation?<br><br>A) Static routes in each spoke VNet<br>B) Azure Route Server in hub peering BGP routes to spokes<br>C) Manual route table updates per spoke","B) Azure Route Server in hub peering BGP routes to spokes","Azure Route Server exchanges routes with network virtual appliances and propagates them to peered VNets, enabling dynamic route learning without static configuration. Static routes require manual updates per change. Manual updates don't scale and miss dynamic changes.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/route-server/overview"">Azure Route Server</a>",AZ-700 CoreNetworking RouteServer
