Front,Back,Extra,Tags
"Your organization has 500 Windows Server VMs running legacy applications with SQL Server dependencies. You need to migrate to Azure with minimal downtime and ability to test before final cutover. The solution must support automated dependency mapping.<br><br>A) Azure Migrate with Azure Site Recovery and dependency visualization<br>B) Manual VM export with AzCopy upload<br>C) Azure Database Migration Service with backup/restore","A) Azure Migrate with Azure Site Recovery and dependency visualization","Azure Migrate provides assessment with dependency visualization (agent-based or agentless), ASR enables replication with test failover before production cutover, and minimal downtime during final migration. DMS is for databases only. Manual export lacks automation and dependency discovery. Azure Migrate is the comprehensive migration platform.","AZ-305 Infrastructure Migration"
"A microservices application requires API gateway functionality with OAuth 2.0 token validation, request/response transformation, and backend service discovery with automatic endpoint updates.<br><br>A) Azure API Management with JWT validation policies and backend service fabric integration<br>B) Azure Application Gateway with custom health probes<br>C) Azure Front Door with rules engine","A) Azure API Management with JWT validation policies and backend service fabric integration","APIM validates JWT tokens with policies, transforms requests/responses via policies, and integrates with Service Fabric for automatic endpoint discovery. App Gateway is L7 load balancing without API-specific features. Front Door lacks API transformation. APIM is the API gateway for security, transformation, and service integration.","AZ-305 Infrastructure AppArchitecture"
"Your company stores 10PB of sensor data in Azure Data Lake. Queries access only the last 30 days of data (200GB) with occasional historical analysis. Minimize storage costs while maintaining query performance for recent data.<br><br>A) Azure Data Lake Storage Gen2 with lifecycle management to Archive tier after 30 days<br>B) Azure Blob Storage Cool tier with CDN<br>C) Azure Cosmos DB with TTL and hot partition strategy","A) Azure Data Lake Storage Gen2 with lifecycle management to Archive tier after 30 days","ADLS Gen2 lifecycle management automatically transitions data to Archive tier (lowest cost) after 30 days while keeping recent data in Hot tier for fast queries. Archive rehydration for occasional historical queries is acceptable. Cool tier still expensive for 9.97PB rarely accessed. Cosmos DB TTL deletes data (doesn't archive).","AZ-305 DataStorage DataIntegration"
"An application requires geo-distributed writes with conflict resolution based on the highest value field (e.g., inventory count). Data must be available in 5 regions with automatic conflict handling.<br><br>A) Azure Cosmos DB multi-region writes with Last-Write-Wins using custom _ts<br>B) Azure Cosmos DB multi-region writes with custom conflict resolution stored procedure<br>C) Azure SQL Database with active geo-replication and merge replication","B) Azure Cosmos DB multi-region writes with custom conflict resolution stored procedure","Custom conflict resolution stored procedure implements business logic (select highest value). LWW uses timestamp (not value-based). SQL geo-replication doesn't support multi-writes. Cosmos DB conflict resolution policies (LWW, custom procedure, custom async) enable business-specific conflict handling for multi-master scenarios.","AZ-305 DataStorage NoSQL"
"A data pipeline must transform and load 5TB of daily data from on-premises SQL Server to Azure Synapse Analytics with incremental loading and data quality validation before loading.<br><br>A) Azure Data Factory with mapping data flows, change data capture, and data flow assert transformation<br>B) Azure Synapse Pipelines with PolyBase bulk load<br>C) SSIS packages running on Azure VMs","A) Azure Data Factory with mapping data flows, change data capture, and data flow assert transformation","ADF mapping data flows provide visual ETL with transformations, CDC tracks incremental changes, assert transformation validates data quality rules. PolyBase is fast load but lacks CDC and validation. SSIS on VMs lacks cloud-native benefits. ADF provides comprehensive cloud ETL with built-in quality gates.","AZ-305 DataStorage DataIntegration"
"Your organization requires centralized logging for 1000+ Azure resources with long-term retention (5 years), cost optimization, and ability to query historical data infrequently.<br><br>A) Log Analytics workspace with Archive tier and restore for queries<br>B) Export logs to Blob Storage with lifecycle management<br>C) Stream logs to Event Hubs and store in Data Lake","A) Log Analytics workspace with Archive tier and restore for queries","Log Analytics Archive tier offers low-cost long-term retention (up to 12 years), searchable when needed via restore to Analytics tier for querying. Blob export loses query capability without additional tools. Event Hubs adds complexity. Archive tier balances cost and functionality for compliance retention.","AZ-305 IdentityGovernance Monitoring"
"A video streaming application serves content to global users with requirements for 4K video delivery, <100ms latency, and geo-filtering to comply with content licensing restrictions.<br><br>A) Azure Front Door Premium with Microsoft CDN, geo-filtering rules, and custom caching<br>B) Azure CDN Standard with custom rules<br>C) Azure Traffic Manager with Application Gateway","A) Azure Front Door Premium with Microsoft CDN, geo-filtering rules, and custom caching","Front Door Premium provides global CDN with edge caching (reduces latency), WAF with geo-filtering (content restriction by region), and Microsoft CDN tier optimized for large files. Standard CDN has limited features. Traffic Manager + App Gateway lacks CDN edge caching. Front Door Premium is the global media delivery solution.","AZ-305 Infrastructure Networking"
"Your company uses Azure DevOps for CI/CD pipelines deploying to 100 Azure App Service instances across 10 subscriptions. Deployments must use managed identities for authentication without storing credentials.<br><br>A) Service connections with managed identity (workload identity federation)<br>B) Service principals with certificate-based authentication stored in Azure Key Vault<br>C) Deployment credentials configured per App Service","A) Service connections with managed identity (workload identity federation)","Workload identity federation enables Azure DevOps to authenticate using managed identity without secrets/certificates. Key Vault still stores certificates (violates no credentials requirement). Deployment credentials are per-app secrets (doesn't scale). Workload identity federation eliminates credential storage entirely for CI/CD scenarios.","AZ-305 IdentityGovernance Authentication"
"A machine learning model training job requires 100 GPU-enabled VMs for 6 hours twice per week. The workload is fault-tolerant and can tolerate interruptions. Minimize costs.<br><br>A) Azure Batch with Spot VMs and job re-queuing on eviction<br>B) Azure Kubernetes Service with dedicated GPU node pools<br>C) Azure Machine Learning with dedicated compute clusters","A) Azure Batch with Spot VMs and job re-queuing on eviction","Spot VMs offer up to 90% discount with eviction risk (acceptable for fault-tolerant workloads), Batch manages job scheduling with automatic re-queue on eviction, and autoscales to 0 between runs. Dedicated GPU pools lack cost savings. ML compute works but Batch + Spot optimizes cost for intermittent GPU workloads.","AZ-305 Infrastructure Compute"
"Your application requires distributed tracing across microservices (HTTP, gRPC, message queues) with correlation IDs, performance analysis, and automatic dependency mapping.<br><br>A) Application Insights with distributed tracing and application map<br>B) Azure Monitor Logs with custom correlation queries<br>C) Azure Service Bus with message tracking","A) Application Insights with distributed tracing and application map","Application Insights provides automatic distributed tracing across protocols (HTTP, gRPC), message queue correlation, performance insights, and visual application map of dependencies. Monitor Logs requires manual correlation. Service Bus tracking is limited to messaging. App Insights is the APM solution for distributed tracing.","AZ-305 IdentityGovernance Monitoring"
"A web application experiences variable traffic (100-10,000 requests/second) with strict latency requirements (<50ms p99). The solution must autoscale rapidly and support in-place deployment updates.<br><br>A) Azure App Service Premium V3 with autoscale rules and deployment slots<br>B) Azure Container Apps with HTTP scaling<br>C) Azure Kubernetes Service with HPA and rolling updates","A) Azure App Service Premium V3 with autoscale rules and deployment slots","Premium V3 provides fast vertical scaling, autoscale rules for horizontal scaling, deployment slots for zero-downtime updates, and managed infrastructure. Container Apps scale well but lack deployment slot feature. AKS requires more management overhead. App Service balances performance, scaling, and deployment features for this scenario.","AZ-305 Infrastructure Compute"
