Front,Back,Extra,Tags
"A retail company wants to analyze customer reviews to understand overall sentiment and identify commonly mentioned product features. Which AI workload best describes this scenario?<br><br>A) Computer vision for image analysis<br>B) Natural language processing for text analytics<br>C) Machine learning for predictive modeling","B) Natural language processing for text analytics. NLP workloads analyze text data to extract meaning, sentiment, entities, and key phrases from written content like customer reviews.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/language-service/overview"">Azure AI Language Overview</a>","NLP encompasses sentiment analysis (positive/negative/neutral), key phrase extraction (important topics), and entity recognition (product names, features). Computer vision (option A) analyzes images/video, not text. Machine learning (option C) is the underlying technology but doesn't specify the text analysis workload. Common NLP tasks include: text classification, translation, question answering, conversational understanding.",AI-900 AIWorkloads NLP
"Your organization is building an AI solution that must treat all users fairly regardless of gender, age, or ethnicity. Which responsible AI principle does this primarily address?<br><br>A) Transparency<br>B) Fairness<br>C) Reliability and safety","B) Fairness. The fairness principle ensures AI systems treat all people equitably and avoid affecting similarly situated groups of people in different ways.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-responsible-ai"">Responsible AI Principles</a>","Fairness addresses bias and discrimination in AI systems. Evaluate models for disparate impact across demographic groups. Transparency (option A) is about explainability. Reliability (option C) is about consistent performance. Other responsible AI principles: Privacy & Security, Inclusiveness (designing for everyone), Accountability (taking responsibility for AI decisions). Use tools like Fairness dashboards to detect and mitigate bias in training data and model predictions.",AI-900 ResponsibleAI Fairness
"A machine learning model predicts house prices based on features like square footage, number of bedrooms, and location. What type of machine learning technique is this?<br><br>A) Regression<br>B) Classification<br>C) Clustering","A) Regression. Regression predicts a continuous numeric value (price) based on input features. It establishes relationships between variables to forecast numeric outcomes.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml"">Machine Learning Tasks</a>","Regression outputs numeric values: prices, temperatures, sales figures. Classification (option B) predicts categories/labels (spam/not spam, cat/dog). Clustering (option C) groups similar data without labels. Common regression algorithms: linear regression, decision trees, random forests. Evaluation metrics for regression: RMSE (Root Mean Square Error), MAE (Mean Absolute Error), R² (coefficient of determination). Use regression when your target variable is continuous and numeric.",AI-900 MachineLearning Regression
"A medical diagnosis system needs to categorize patient X-rays as showing pneumonia, tuberculosis, or healthy lungs. What machine learning technique should be used?<br><br>A) Regression to predict disease probability<br>B) Classification to assign category labels<br>C) Clustering to find similar X-ray patterns","B) Classification to assign category labels. Classification assigns data to predefined categories or classes. In this case, the model classifies X-rays into one of three classes: pneumonia, tuberculosis, or healthy.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml"">Automated ML Task Types</a>","Classification outputs discrete categories/labels. Binary classification has 2 classes (positive/negative), multiclass has 3+ classes (this scenario). Regression (option A) predicts numbers, not categories. Clustering (option C) finds patterns without predefined labels. Common classification algorithms: logistic regression, decision trees, neural networks. Evaluation metrics: accuracy, precision, recall, F1-score, confusion matrix. Classification is supervised learning (requires labeled training data).",AI-900 MachineLearning Classification
"A customer segmentation project analyzes purchase history to group customers with similar buying behaviors without predefined categories. Which machine learning technique is this?<br><br>A) Supervised learning with labeled customer types<br>B) Unsupervised learning with clustering algorithms<br>C) Reinforcement learning with reward optimization","B) Unsupervised learning with clustering algorithms. Clustering groups similar data points without predefined labels, discovering natural patterns in data. It's unsupervised because there are no labeled examples to learn from.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml#clustering"">Clustering in Azure ML</a>","Clustering finds inherent groupings in unlabeled data. Common algorithms: K-means, DBSCAN, hierarchical clustering. Supervised learning (option A) requires labeled training data. Reinforcement learning (option C) learns through trial-and-error with rewards. Clustering is useful for: customer segmentation, anomaly detection, data exploration. No ""correct"" answer exists in clustering; evaluate using silhouette scores, elbow method. Results show which customers have similar characteristics (spending patterns, product preferences).",AI-900 MachineLearning Clustering
"In machine learning, what is the purpose of splitting data into training and validation datasets?<br><br>A) Training data teaches patterns; validation data tests if learning generalizes to new data<br>B) Training data stores all examples; validation data backs up the training set<br>C) Training data contains features; validation data contains labels","A) Training data teaches patterns; validation data tests if learning generalizes to new data. Training data is used to fit the model, while validation data evaluates performance on unseen data to detect overfitting.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-train-machine-learning-model"">Train ML Models</a>","Typical split: 70-80% training, 10-15% validation, 10-15% test. Training data teaches the model patterns. Validation data tunes hyperparameters and assesses generalization. Test data provides final evaluation. Overfitting occurs when model memorizes training data but fails on new data. Underfitting happens when model is too simple. Validation helps find the sweet spot. Cross-validation uses multiple validation sets for robust evaluation. Both datasets contain features AND labels (for supervised learning).",AI-900 MachineLearning DataSplitting
"What Azure service provides automated machine learning capabilities to automatically try multiple algorithms and hyperparameters to find the best model?<br><br>A) Azure Machine Learning Automated ML<br>B) Azure AI Vision custom models<br>C) Azure Cognitive Services","A) Azure Machine Learning Automated ML. Automated ML (AutoML) automatically tries multiple algorithms, feature engineering techniques, and hyperparameters to find the optimal model for your data and task.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-automated-ml"">Automated ML Overview</a>","AutoML democratizes ML by handling algorithm selection, preprocessing, feature engineering, and hyperparameter tuning. Supports classification, regression, time-series forecasting. Provides model explainability and featurization transparency. AI Vision (option B) is for computer vision, not general ML. Cognitive Services (option C) are prebuilt AI capabilities. AutoML saves data scientists weeks of experimentation. Outputs best model with performance metrics and explanations. Integrates with Azure ML Studio for no-code/low-code experience.",AI-900 AzureML AutomatedML
"An image classification model needs to identify whether photos contain cats, dogs, or birds. What are the ""labels"" in this scenario?<br><br>A) The pixel values of each image<br>B) The categories: cat, dog, bird<br>C) The image file names","B) The categories: cat, dog, bird. Labels are the target values or outcomes the model learns to predict. In classification, labels are the categories or classes each data item belongs to.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-data-labeling"">Data Labeling Concepts</a>","In supervised learning: Features are input data (pixel values, image characteristics), Labels are outputs to predict (categories). For this task: Features = image pixels/characteristics, Labels = cat/dog/bird. File names (option C) are metadata, not labels. Labeled data is required for supervised learning. Data labeling projects involve humans annotating examples. One-hot encoding represents labels as binary vectors: cat=[1,0,0], dog=[0,1,0], bird=[0,0,1]. Quality labels are critical for model accuracy.",AI-900 MachineLearning FeaturesLabels
"A company wants to deploy a trained machine learning model to a REST API endpoint for real-time predictions. Which Azure Machine Learning capability enables this?<br><br>A) Model training with compute clusters<br>B) Model deployment to managed endpoints<br>C) Automated machine learning experiments","B) Model deployment to managed endpoints. Azure ML enables deploying trained models as web services (REST APIs) on managed endpoints for real-time or batch inference.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/machine-learning/concept-endpoints"">Endpoints in Azure ML</a>","Deployment options: Real-time endpoints (low latency, individual predictions), Batch endpoints (high throughput, batch scoring). Managed endpoints handle infrastructure, scaling, security. Training (option A) creates models, not deployment. AutoML (option C) finds best models. After training, register model in Azure ML registry, create endpoint, deploy model version, test with sample data. Supports A/B testing with traffic splitting. Monitor with Application Insights. Managed endpoints provide authentication, SSL, auto-scaling.",AI-900 AzureML Deployment
"Which computer vision task identifies and locates multiple objects within an image by drawing bounding boxes around them?<br><br>A) Image classification<br>B) Object detection<br>C) Optical character recognition","B) Object detection. Object detection identifies multiple objects in an image, determines their type/class, and locates them using bounding boxes with coordinates.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-object-detection"">Object Detection</a>","Object detection outputs: class labels + bounding box coordinates (x, y, width, height) for each object. Can detect multiple objects of different types in one image. Image classification (option A) assigns one label to entire image without location. OCR (option C) extracts text, not objects. Common uses: inventory counting, safety monitoring, autonomous vehicles. Algorithms: YOLO, R-CNN, SSD. Outputs confidence scores per detection. Azure Custom Vision supports custom object detection models.",AI-900 ComputerVision ObjectDetection
"A mobile banking app needs to extract text from photos of checks (account numbers, amounts, signatures). What computer vision capability is required?<br><br>A) Image classification to categorize check types<br>B) Object detection to find checks in photos<br>C) Optical character recognition to read text","C) Optical character recognition to read text. OCR extracts printed or handwritten text from images, converting visual text into machine-readable text that can be processed.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/overview-ocr"">OCR in Azure AI Vision</a>","OCR (Optical Character Recognition) converts image text to digital text. Azure AI Vision Read API handles printed and handwritten text in 100+ languages. Returns extracted text with bounding boxes and confidence scores. Classification (option A) categorizes images, doesn't extract text. Object detection (option B) finds objects, not text characters. Use cases: document digitization, receipt processing, license plate reading. Form Recognizer (Document Intelligence) combines OCR with structure extraction for forms/documents. Read API optimized for text-heavy documents.",AI-900 ComputerVision OCR
