Front,Back,Extra,Tags
"Your startup is launching a mobile app expecting unpredictable traffic spikes during marketing campaigns. The solution must automatically scale compute resources and charge only for actual usage. Which cloud pricing model best fits this requirement?<br><br>A) Reserved Instances with 3-year commitment<br>B) Consumption-based pricing with auto-scaling<br>C) Dedicated host pricing with fixed monthly costs","B) Consumption-based pricing with auto-scaling","Consumption-based pricing charges only for resources actually consumed, ideal for unpredictable workloads. Reserved Instances require predictable, steady workloads for cost savings. Dedicated hosts charge fixed costs regardless of usage, eliminating cost flexibility.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cost-management-billing/understand/understand-usage"">Azure consumption-based pricing</a>",AZ-900 CloudConcepts PricingModels
"A financial services company must keep sensitive customer data within their on-premises datacenter for regulatory compliance, but wants to use Azure services for application hosting and analytics. Which cloud model satisfies these requirements?<br><br>A) Public cloud with Azure regions selected by geography<br>B) Hybrid cloud with on-premises data storage<br>C) Private cloud with isolated Azure subscriptions","B) Hybrid cloud with on-premises data storage","Hybrid cloud combines on-premises infrastructure (for regulated data) with public cloud services (for compute/analytics). Public cloud alone doesn't provide on-premises control. Private cloud in Azure still stores data in Microsoft datacenters, not on-premises.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/hybrid/"">Azure hybrid cloud architecture</a>",AZ-900 CloudConcepts CloudModels
"Your organization runs a legacy application requiring direct OS-level access to install custom kernel modules and specific network drivers. Which cloud service type provides the necessary control?<br><br>A) Software as a Service (SaaS)<br>B) Platform as a Service (PaaS)<br>C) Infrastructure as a Service (IaaS)","C) Infrastructure as a Service (IaaS)","IaaS provides full OS-level control, allowing kernel module installation and custom network driver configuration. PaaS abstracts the OS layer, limiting customization. SaaS provides only application access with no infrastructure control.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/ready/considerations/fundamental-concepts"">Azure service models comparison</a>",AZ-900 CloudConcepts ServiceTypes
"A retail company experiences 300% traffic increase during Black Friday sales. Their application must automatically provision additional servers during peak times and deallocate them afterward. Which cloud benefit addresses this requirement?<br><br>A) High availability through redundant datacenters<br>B) Scalability with elastic resource allocation<br>C) Security through network isolation","B) Scalability with elastic resource allocation","Scalability enables automatic resource expansion during peak demand and contraction during low usage, optimizing costs. High availability ensures uptime but doesn't address dynamic capacity needs. Security through isolation doesn't relate to traffic-based scaling.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/architecture/framework/scalability/overview"">Azure scalability patterns</a>",AZ-900 CloudConcepts CloudBenefits
"Under the shared responsibility model, your company deploys a web application using Azure App Service (PaaS). Who is responsible for patching the underlying operating system?<br><br>A) Customer is fully responsible<br>B) Microsoft is fully responsible<br>C) Shared responsibility between customer and Microsoft","B) Microsoft is fully responsible","In PaaS models like App Service, Microsoft manages OS patching, infrastructure, and platform updates. Customers manage application code, data, and access controls. In IaaS, OS patching becomes customer responsibility.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/security/fundamentals/shared-responsibility"">Azure shared responsibility model</a>",AZ-900 CloudConcepts SharedResponsibility
"A healthcare provider must ensure patient data remains within specific geographic boundaries due to GDPR requirements. Which Azure architectural component addresses data residency requirements?<br><br>A) Availability zones within a single region<br>B) Specific Azure regions with data residency guarantees<br>C) Azure Virtual Network subnet configuration","B) Specific Azure regions with data residency guarantees","Azure regions provide data residency guarantees, ensuring data stays within geographic boundaries for compliance. Availability zones span within a single region but don't control geographic data placement. VNet subnets control network segmentation, not data residency.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/compliance/offerings/"">Azure compliance and data residency</a>",AZ-900 CloudConcepts CloudModels
"Your organization wants to eliminate upfront infrastructure costs and shift from CapEx to OpEx. Which cloud characteristic enables this financial model change?<br><br>A) Consumption-based pricing model<br>B) High availability with SLA guarantees<br>C) Geographic distribution across regions","A) Consumption-based pricing model","Consumption-based pricing eliminates upfront capital expenditure, converting infrastructure costs to operational expenses paid as resources are used. High availability relates to uptime, not financial models. Geographic distribution addresses resilience, not cost structure.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cost-management-billing/manage/understand-ea-billing"">Azure cost management fundamentals</a>",AZ-900 CloudConcepts PricingModels
"A government agency requires complete control over hardware, virtualization layer, and network infrastructure while using cloud computing. Which cloud model meets these sovereignty requirements?<br><br>A) Public cloud with encryption enabled<br>B) Private cloud with dedicated infrastructure<br>C) Community cloud shared with other agencies","B) Private cloud with dedicated infrastructure","Private cloud provides dedicated infrastructure with complete organizational control over hardware, virtualization, and networking. Public cloud shares infrastructure with other tenants. Community cloud is shared among specific organizations, reducing individual control.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/cloud-adoption-framework/strategy/cloud-models"">Cloud deployment models</a>",AZ-900 CloudConcepts CloudModels
"An e-commerce platform needs to automatically adjust compute capacity based on real-time shopping cart activity, with costs tied directly to actual resource usage. Which cloud pricing characteristic provides this flexibility?<br><br>A) Reserved capacity with prepayment discounts<br>B) Pay-as-you-go consumption-based billing<br>C) Spot instance pricing with variable availability","B) Pay-as-you-go consumption-based billing","Pay-as-you-go consumption billing charges only for resources actively used, aligning costs with actual demand. Reserved capacity requires upfront commitment. Spot instances offer discounts but can be interrupted, unsuitable for production e-commerce.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/architecture/framework/cost/design-price"">Azure pricing models</a>",AZ-900 CloudConcepts PricingModels
"Your application requires zero downtime during Azure datacenter maintenance. Which architectural component provides infrastructure-level fault isolation within a region?<br><br>A) Availability zones with zone-redundant deployment<br>B) Region pairs for disaster recovery<br>C) Resource groups for logical organization","A) Availability zones with zone-redundant deployment","Availability zones provide physically separate datacenters within a region with independent power, cooling, and networking, enabling zero downtime during maintenance. Region pairs are for disaster recovery across regions. Resource groups are logical containers without fault isolation.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/reliability/availability-zones-overview"">Azure availability zones</a>",AZ-900 Architecture AvailabilityZones
